cpi_ID,author,google_scholar_ID,affiliation,emails,title,pubyear,citation,link
VQV8,Adina Sterling,"""48jTyi4AAAAJ""","Stanford University, Graduate School of Business",Verified email at stanford.edu,"Beyond Structure: How Men and Women Perceive, Experience, and Utilize Their Professional Networks",2022,"Academy of Management Proceedings 2022 (1), 14697, 2022",Missing
YCA8,Adrian Raftery,"""QN9RQAYAAAAJ""","Professor of Statistics and Sociology, University of Washington",Verified email at uw.edu,Probabilistic Estimation and Projection of the Annual Total Fertility Rate Accounting for Past Uncertainty: A Major Update of the bayesTFR R Package,2022,"arXiv preprint arXiv:2207.06593, 2022",Missing
MTG2,Adriana Kugler,"""y5PAIyUAAAAJ""","Professor, Georgetown University",Verified email at georgetown.edu,Impacts of Public Health Insurance on Occupational Upgrading,2022,"ILR Review 75 (1), 225-250, 2022",Missing
MME4,Akhil Gupta,"""PZaJ3mgAAAAJ""",,Verified email at ucla.edu,Infrastructure as Decay and the Decay of Infrastructure,2021,"Journal: Decay, 37-46, 2021",Missing
JYR5,Alan Garber,"""tLEpp5QAAAAJ""",No affiliations available,No emails available,"How Voters Use Contextual Information to Reward and Punish: Credit Claiming, Legislative Performance, and Democratic Accountability",2022,"The Journal of Politics 84 (3), 000-000, 2022",Missing
QJW3,Alberto Abadie,"""9rOAlq4AAAAJ""","Professor of Economics, MIT",Did not search,Robust post-matching inference,2022,"Journal of the American Statistical Association 117 (538), 983-995, 2022",Missing
VWT7,Alberto Diaz-Cayeros,"""Z7xXzgkAAAAJ""","Senior Fellow, Stanford University",Verified email at stanford.edu,"Coalitions, Indigenous Peoples, and Populism in the Americas",2022,"Journal of Political Institutions and Political Economy 3 (1), 107-123, 2022",Missing
SPD7,Alejandro Portes,"""P7ocv9gAAAAJ""","Sociology, Princeton University",Verified email at princeton.edu,"Emerging Global Cities: Origin, Structure, and Significance",2022,"Columbia University Press, 2022",Missing
FIA5,Alisa Lewin,"""qXkt9YcAAAAJ""","Department of Sociology, University of Haifa",Verified email at soc.haifa.ac.il,Marriage patterns among Jewish immigrants in Israel,2022,"Journal of Ethnic and Migration Studies 48 (5), 1305-1326, 2022",Missing
WJB1,Aliya Saperstein,"""KPaSND8AAAAJ""","Associate Professor of Sociology, Stanford University",Verified email at stanford.edu,Strategies of inclusion: The tradeoffs of pursuing “baked in” diversity through place-based recruitment,2022,"Social Science & Medicine, 115132, 2022",Missing
XZM7,Alvin Roth,"""C3HHY7oAAAAJ""",,Cited by 56908,School choice,2022,"National Bureau of Economic Research, 2022",Missing
